,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
0,0,3,61.0,3,0,05_22_23:18:37,0.1,-472.10184,94.27168,21.20477,10.214063,8.327711,6.0041585,-0.0021988153,0.17850876,-6.9129043,4.685693,-8.015196,4.1338797,-7.416339,-5.3149786,2.5530012,-3.7288861
1,1,6,38.9,6,0,05_22_23:18:37,0.2,-485.9233,114.22716,14.79788,10.104576,6.730069,3.6701422,2.5477078,6.4525433,-9.335218,-4.6223893,3.638848,2.5477612,-2.0203245,3.2883296,-8.5422945,1.5001583
2,2,9,52.0,8,0,05_22_23:18:37,0.3,-481.47375,112.82557,3.123402,8.389723,5.060635,1.775872,4.6592884,3.0725198,4.027372,1.5023253,7.7533655,4.7132263,-4.1448846,3.9887838,-4.720126,-5.5053563
3,3,12,87.7,11,0,05_22_23:18:37,0.4,-455.41766,97.67793,16.504875,8.791023,20.450687,5.012244,-0.8408715,-0.20946759,2.3844044,10.339678,3.065755,-3.0084813,-5.16261,-4.5107117,-1.6612267,-6.953206
4,4,15,47.7,13,0,05_22_23:18:37,0.5,-444.5189,109.31668,-10.700539,21.79538,18.380835,-3.2854395,-0.53047335,4.270478,-1.352759,1.514056,4.443407,1.274859,-6.032529,0.2631762,-1.7438152,0.5199875
5,5,18,42.9,16,0,05_22_23:18:37,0.6,-420.34097,99.68346,-31.481966,32.40036,16.655325,-5.3281,4.895113,1.9591378,-11.385662,8.360366,-1.8081242,-4.3573155,-5.609869,6.9928336,-7.5459423,-7.242714
6,6,21,104.3,18,0,05_22_23:18:37,0.7,-404.74344,91.39339,-40.399574,47.269886,25.56538,-2.9671047,-0.5321895,19.237614,-4.73501,5.4596543,-4.813306,6.9350967,-6.1148276,-7.0440035,2.4926457,2.1771693
7,7,24,28.5,21,0,05_22_23:18:37,0.8,-390.75406,73.97488,-11.312006,36.587402,24.992085,-8.1459055,7.76066,18.395105,-8.827263,7.5619345,10.980217,4.4670963,-12.1039505,6.159609,-0.6640859,-2.7944815
8,8,27,69.4,23,0,05_22_23:18:37,0.9,-397.29587,83.442,-17.576622,30.935032,19.79472,-5.9801693,-1.6509205,10.238773,-5.3422327,7.4444594,5.798357,-5.6930437,-11.504908,3.4150248,-6.481303,1.7584181
9,9,30,50.4,26,0,05_22_23:18:37,1.0,-412.93958,88.90664,-27.293438,43.439423,20.362886,-2.5990458,-1.1978197,9.814333,-1.4821687,10.722523,4.1808558,-4.623242,-4.832323,6.2445655,-1.0889906,-0.23036325
10,10,33,54.4,28,0,05_22_23:18:37,1.1,-393.72736,80.11664,-30.27246,29.251745,18.99104,4.930524,7.4433017,2.7745411,-4.058106,18.443985,3.9676075,-12.481624,-4.3515596,3.127112,0.2083047,-0.78590554
11,11,36,97.7,31,0,05_22_23:18:37,1.2,-402.4003,89.683525,-35.307617,33.483624,23.45079,-2.7140582,-3.8087678,10.159589,1.8907816,20.568113,2.9478016,-3.4942489,0.96061134,1.1220961,-10.562988,-0.47108173
12,12,39,82.5,33,0,05_22_23:18:37,1.3,-393.60117,74.24008,-22.507875,37.915405,31.320568,2.2583842,1.2622347,9.920162,-0.32206446,11.355461,-5.4175553,-3.2390704,-4.887286,3.2776637,-7.218941,4.5462074
13,13,42,49.5,36,0,05_22_23:18:37,1.4,-384.86816,89.396545,-29.947964,37.152153,20.401333,4.4517584,4.3446784,11.554469,6.287262,7.924959,-11.742551,-2.57867,-1.8617307,4.8429875,-0.9902559,7.333982
14,14,45,72.3,38,0,05_22_23:18:37,1.5,-385.36758,79.3679,-23.105873,39.49948,15.880216,12.004087,1.7995863,6.124031,2.9744594,9.843345,-5.2643247,-2.115191,-7.5346804,0.8783609,-3.2665963,-5.9396467
15,15,48,63.1,41,0,05_22_23:18:37,1.6,-377.19998,83.86044,-22.007648,45.75561,21.34391,0.26446187,-4.7857847,7.4263086,-4.478076,5.832944,-11.312306,5.10631,8.662186,0.56921786,0.14131644,10.992771
16,16,51,81.1,43,0,05_22_23:18:37,1.7,-372.3308,97.90163,-18.815071,43.39881,19.711098,5.298236,-4.589959,7.8869815,3.8574529,5.543978,-7.0061684,1.2142137,7.618411,-0.5461768,-3.7070956,11.02144
17,17,54,123.9,46,0,05_22_23:18:37,1.8,-365.65598,99.83881,-18.127909,46.23268,20.020176,3.262549,-5.758613,8.918674,3.1349473,10.866922,-14.151939,-8.264993,7.5061665,6.629491,-1.8084193,9.899422
18,18,57,69.7,48,0,05_22_23:18:37,1.9,-366.7122,95.25801,-27.413338,42.836,10.721615,1.8487118,1.6258368,12.507847,2.7303462,13.154652,0.5142068,-4.0669847,-0.99655706,4.1228323,-0.6706318,8.3749485
